Freq.,Vvo/Vv1
1.22179966016487e+003,-6.81517182675447e+001,1.78359026925241e+002
1.22461619926504e+003,-6.81114094395829e+001,1.78355215303372e+002
1.22743923115840e+003,-6.80710991806080e+001,1.78351394694154e+002
1.23026877081238e+003,-6.80307874839636e+001,1.78347565075464e+002
1.23310483322890e+003,-6.79904743429618e+001,1.78343726425121e+002
1.23594743344450e+003,-6.79501597508835e+001,1.78339878720880e+002
1.23879658653036e+003,-6.79098437009779e+001,1.78336021940437e+002
1.24165230759241e+003,-6.78695261864629e+001,1.78332156061425e+002
1.24451461177138e+003,-6.78292072005242e+001,1.78328281061417e+002
1.24738351424294e+003,-6.77888867363158e+001,1.78324396917921e+002
1.25025903021771e+003,-6.77485647869596e+001,1.78320503608386e+002
1.25314117494141e+003,-6.77082413455451e+001,1.78316601110197e+002
1.25602996369487e+003,-6.76679164051295e+001,1.78312689400677e+002
1.25892541179416e+003,-6.76275899587374e+001,1.78308768457086e+002
1.26182753459066e+003,-6.75872619993606e+001,1.78304838256621e+002
1.26473634747115e+003,-6.75469325199582e+001,1.78300898776415e+002
1.26765186585784e+003,-6.75066015134561e+001,1.78296949993538e+002
1.27057410520854e+003,-6.74662689727471e+001,1.78292991884998e+002
1.27350308101666e+003,-6.74259348906906e+001,1.78289024427737e+002
1.27643880881134e+003,-6.73855992601125e+001,1.78285047598633e+002
1.27938130415752e+003,-6.73452620738051e+001,1.78281061374500e+002
1.28233058265601e+003,-6.73049233245268e+001,1.78277065732089e+002
1.28528665994361e+003,-6.72645830050020e+001,1.78273060648083e+002
1.28824955169313e+003,-6.72242411079209e+001,1.78269046099102e+002
1.29121927361353e+003,-6.71838976259397e+001,1.78265022061701e+002
1.29419584144998e+003,-6.71435525516796e+001,1.78260988512368e+002
1.29717927098395e+003,-6.71032058777276e+001,1.78256945427527e+002
1.30016957803328e+003,-6.70628575966356e+001,1.78252892783534e+002
1.30316677845229e+003,-6.70225077009208e+001,1.78248830556681e+002
1.30617088813183e+003,-6.69821561830651e+001,1.78244758723193e+002
1.30918192299940e+003,-6.69418030355149e+001,1.78240677259225e+002
1.31219989901920e+003,-6.69014482506815e+001,1.78236586140871e+002
1.31522483219223e+003,-6.68610918209403e+001,1.78232485344153e+002
1.31825673855640e+003,-6.68207337386310e+001,1.78228374845027e+002
1.32129563418657e+003,-6.67803739960573e+001,1.78224254619382e+002
1.32434153519466e+003,-6.67400125854865e+001,1.78220124643040e+002
1.32739445772973e+003,-6.66996494991499e+001,1.78215984891751e+002
1.33045441797808e+003,-6.66592847292422e+001,1.78211835341202e+002
1.33352143216332e+003,-6.66189182679212e+001,1.78207675967006e+002
1.33659551654643e+003,-6.65785501073082e+001,1.78203506744712e+002
1.33967668742593e+003,-6.65381802394872e+001,1.78199327649795e+002
1.34276496113786e+003,-6.64978086565051e+001,1.78195138657666e+002
1.34586035405594e+003,-6.64574353503713e+001,1.78190939743661e+002
1.34896288259165e+003,-6.64170603130577e+001,1.78186730883051e+002
1.35207256319427e+003,-6.63766835364986e+001,1.78182512051032e+002
1.35518941235103e+003,-6.63363050125900e+001,1.78178283222734e+002
1.35831344658715e+003,-6.62959247331902e+001,1.78174044373215e+002
1.36144468246594e+003,-6.62555426901190e+001,1.78169795477459e+002
1.36458313658892e+003,-6.62151588751576e+001,1.78165536510384e+002
1.36772882559584e+003,-6.61747732800489e+001,1.78161267446833e+002
1.37088176616484e+003,-6.61343858964966e+001,1.78156988261578e+002
1.37404197501251e+003,-6.60939967161654e+001,1.78152698929319e+002
1.37720946889394e+003,-6.60536057306811e+001,1.78148399424685e+002
1.38038426460288e+003,-6.60132129316298e+001,1.78144089722232e+002
1.38356637897177e+003,-6.59728183105580e+001,1.78139769796442e+002
1.38675582887188e+003,-6.59324218589726e+001,1.78135439621725e+002
1.38995263121334e+003,-6.58920235683403e+001,1.78131099172419e+002
1.39315680294529e+003,-6.58516234300878e+001,1.78126748422785e+002
1.39636836105593e+003,-6.58112214356014e+001,1.78122387347013e+002
1.39958732257261e+003,-6.57708175762267e+001,1.78118015919218e+002
1.40281370456195e+003,-6.57304118432689e+001,1.78113634113441e+002
1.40604752412990e+003,-6.56900042279918e+001,1.78109241903648e+002
1.40928879842186e+003,-6.56495947216184e+001,1.78104839263730e+002
1.41253754462274e+003,-6.56091833153303e+001,1.78100426167503e+002
1.41579377995707e+003,-6.55687700002673e+001,1.78096002588707e+002
1.41905752168908e+003,-6.55283547675279e+001,1.78091568501008e+002
1.42232878712281e+003,-6.54879376081683e+001,1.78087123877993e+002
1.42560759360218e+003,-6.54475185132026e+001,1.78082668693175e+002
1.42889395851109e+003,-6.54070974736028e+001,1.78078202919990e+002
1.43218789927353e+003,-6.53666744802982e+001,1.78073726531795e+002
1.43548943335364e+003,-6.53262495241752e+001,1.78069239501873e+002
1.43879857825583e+003,-6.52858225960775e+001,1.78064741803428e+002
1.44211535152486e+003,-6.52453936868055e+001,1.78060233409585e+002
1.44543977074592e+003,-6.52049627871162e+001,1.78055714293393e+002
1.44877185354475e+003,-6.51645298877231e+001,1.78051184427822e+002
1.45211161758773e+003,-6.51240949792959e+001,1.78046643785762e+002
1.45545908058195e+003,-6.50836580524603e+001,1.78042092340025e+002
1.45881426027534e+003,-6.50432190977977e+001,1.78037530063345e+002
1.46217717445671e+003,-6.50027781058453e+001,1.78032956928373e+002
1.46554784095590e+003,-6.49623350670953e+001,1.78028372907684e+002
1.46892627764385e+003,-6.49218899719953e+001,1.78023777973771e+002
1.47231250243271e+003,-6.48814428109479e+001,1.78019172099046e+002
1.47570653327588e+003,-6.48409935743102e+001,1.78014555255841e+002
1.47910838816819e+003,-6.48005422523939e+001,1.78009927416406e+002
1.48251808514594e+003,-6.47600888354650e+001,1.78005288552910e+002
1.48593564228699e+003,-6.47196333137434e+001,1.78000638637442e+002
1.48936107771090e+003,-6.46791756774031e+001,1.77995977642007e+002
1.49279440957898e+003,-6.46387159165714e+001,1.77991305538526e+002
1.49623565609442e+003,-6.45982540213293e+001,1.77986622298842e+002
1.49968483550236e+003,-6.45577899817107e+001,1.77981927894710e+002
1.50314196609001e+003,-6.45173237877026e+001,1.77977222297806e+002
1.50660706618673e+003,-6.44768554292446e+001,1.77972505479719e+002
1.51008015416413e+003,-6.44363848962289e+001,1.77967777411956e+002
1.51356124843619e+003,-6.43959121784998e+001,1.77963038065938e+002
1.51705036745932e+003,-6.43554372658537e+001,1.77958287413003e+002
1.52054752973248e+003,-6.43149601480388e+001,1.77953525424404e+002
1.52405275379728e+003,-6.42744808147549e+001,1.77948752071307e+002
1.52756605823806e+003,-6.42339992556530e+001,1.77943967324794e+002
1.53108746168201e+003,-6.41935154603353e+001,1.77939171155861e+002
1.53461698279928e+003,-6.41530294183547e+001,1.77934363535416e+002
1.53815464030302e+003,-6.41125411192149e+001,1.77929544434282e+002
1.54170045294954e+003,-6.40720505523698e+001,1.77924713823195e+002
1.54525443953840e+003,-6.40315577072236e+001,1.77919871672803e+002
1.54881661891247e+003,-6.39910625731302e+001,1.77915017953666e+002
1.55238700995807e+003,-6.39505651393932e+001,1.77910152636258e+002
1.55596563160506e+003,-6.39100653952659e+001,1.77905275690961e+002
1.55955250282694e+003,-6.38695633299503e+001,1.77900387088072e+002
1.56314764264094e+003,-6.38290589325975e+001,1.77895486797797e+002
1.56675107010813e+003,-6.37885521923075e+001,1.77890574790253e+002
1.57036280433354e+003,-6.37480430981283e+001,1.77885651035467e+002
1.57398286446620e+003,-6.37075316390563e+001,1.77880715503376e+002
1.57761126969933e+003,-6.36670178040359e+001,1.77875768163826e+002
1.58124803927037e+003,-6.36265015819589e+001,1.77870808986573e+002
1.58489319246110e+003,-6.35859829616648e+001,1.77865837941282e+002
1.58854674859776e+003,-6.35454619319401e+001,1.77860854997525e+002
1.59220872705115e+003,-6.35049384815181e+001,1.77855860124784e+002
1.59587914723672e+003,-6.34644125990788e+001,1.77850853292446e+002
1.59955802861465e+003,-6.34238842732489e+001,1.77845834469808e+002
1.60324539069002e+003,-6.33833534926007e+001,1.77840803626072e+002
1.60694125301286e+003,-6.33428202456527e+001,1.77835760730348e+002
1.61064563517825e+003,-6.33022845208689e+001,1.77830705751652e+002
1.61435855682647e+003,-6.32617463066586e+001,1.77825638658904e+002
1.61808003764305e+003,-6.32212055913763e+001,1.77820559420931e+002
1.62181009735891e+003,-6.31806623633211e+001,1.77815468006465e+002
1.62554875575047e+003,-6.31401166107368e+001,1.77810364384142e+002
1.62929603263970e+003,-6.30995683218113e+001,1.77805248522504e+002
1.63305194789432e+003,-6.30590174846766e+001,1.77800120389993e+002
1.63681652142779e+003,-6.30184640874085e+001,1.77794979954959e+002
1.64058977319952e+003,-6.29779081180261e+001,1.77789827185653e+002
1.64437172321491e+003,-6.29373495644915e+001,1.77784662050228e+002
1.64816239152549e+003,-6.28967884147102e+001,1.77779484516739e+002
1.65196179822900e+003,-6.28562246565299e+001,1.77774294553146e+002
1.65576996346951e+003,-6.28156582777406e+001,1.77769092127307e+002
1.65958690743754e+003,-6.27750892660747e+001,1.77763877206983e+002
1.66341265037015e+003,-6.27345176092060e+001,1.77758649759834e+002
1.66724721255104e+003,-6.26939432947501e+001,1.77753409753423e+002
1.67109061431069e+003,-6.26533663102635e+001,1.77748157155210e+002
1.67494287602642e+003,-6.26127866432439e+001,1.77742891932555e+002
1.67880401812254e+003,-6.25722042811294e+001,1.77737614052719e+002
1.68267406107045e+003,-6.25316192112985e+001,1.77732323482860e+002
1.68655302538872e+003,-6.24910314210699e+001,1.77727020190033e+002
1.69044093164324e+003,-6.24504408977018e+001,1.77721704141193e+002
1.69433780044731e+003,-6.24098476283920e+001,1.77716375303192e+002
1.69824365246172e+003,-6.23692516002775e+001,1.77711033642777e+002
1.70215850839493e+003,-6.23286528004341e+001,1.77705679126593e+002
1.70608238900310e+003,-6.22880512158760e+001,1.77700311721181e+002
1.71001531509027e+003,-6.22474468335561e+001,1.77694931392977e+002
1.71395730750840e+003,-6.22068396403648e+001,1.77689538108313e+002
1.71790838715757e+003,-6.21662296231305e+001,1.77684131833415e+002
1.72186857498598e+003,-6.21256167686187e+001,1.77678712534403e+002
1.72583789199018e+003,-6.20850010635321e+001,1.77673280177291e+002
1.72981635921508e+003,-6.20443824945102e+001,1.77667834727987e+002
1.73380399775412e+003,-6.20037610481287e+001,1.77662376152291e+002
1.73780082874935e+003,-6.19631367108996e+001,1.77656904415896e+002
1.74180687339159e+003,-6.19225094692707e+001,1.77651419484388e+002
1.74582215292048e+003,-6.18818793096253e+001,1.77645921323242e+002
1.74984668862463e+003,-6.18412462182817e+001,1.77640409897826e+002
1.75388050184174e+003,-6.18006101814932e+001,1.77634885173398e+002
1.75792361395867e+003,-6.17599711854478e+001,1.77629347115107e+002
1.76197604641161e+003,-6.17193292162674e+001,1.77623795687990e+002
1.76603782068614e+003,-6.16786842600079e+001,1.77618230856974e+002
1.77010895831740e+003,-6.16380363026590e+001,1.77612652586875e+002
1.77418948089014e+003,-6.15973853301433e+001,1.77607060842398e+002
1.77827941003890e+003,-6.15567313283165e+001,1.77601455588133e+002
1.78237876744807e+003,-6.15160742829669e+001,1.77595836788561e+002
1.78648757485203e+003,-6.14754141798150e+001,1.77590204408048e+002
1.79060585403527e+003,-6.14347510045133e+001,1.77584558410844e+002
1.79473362683250e+003,-6.13940847426457e+001,1.77578898761089e+002
1.79887091512876e+003,-6.13534153797276e+001,1.77573225422805e+002
1.80301774085954e+003,-6.13127429012051e+001,1.77567538359901e+002
1.80717412601090e+003,-6.12720672924551e+001,1.77561837536170e+002
1.81134009261958e+003,-6.12313885387845e+001,1.77556122915286e+002
1.81551566277311e+003,-6.11907066254303e+001,1.77550394460811e+002
1.81970085860996e+003,-6.11500215375588e+001,1.77544652136187e+002
1.82389570231961e+003,-6.11093332602657e+001,1.77538895904737e+002
1.82810021614272e+003,-6.10686417785756e+001,1.77533125729668e+002
1.83231442237119e+003,-6.10279470774412e+001,1.77527341574069e+002
1.83653834334832e+003,-6.09872491417439e+001,1.77521543400907e+002
1.84077200146893e+003,-6.09465479562925e+001,1.77515731173030e+002
1.84501541917945e+003,-6.09058435058233e+001,1.77509904853168e+002
1.84926861897805e+003,-6.08651357749998e+001,1.77504064403927e+002
1.85353162341478e+003,-6.08244247484122e+001,1.77498209787794e+002
1.85780445509167e+003,-6.07837104105769e+001,1.77492340967132e+002
1.86208713666284e+003,-6.07429927459364e+001,1.77486457904182e+002
1.86637969083464e+003,-6.07022717388589e+001,1.77480560561064e+002
1.87068214036577e+003,-6.06615473736376e+001,1.77474648899773e+002
1.87499450806739e+003,-6.06208196344910e+001,1.77468722882178e+002
1.87931681680324e+003,-6.05800885055617e+001,1.77462782470027e+002
1.88364908948977e+003,-6.05393539709168e+001,1.77456827624940e+002
1.88799134909627e+003,-6.04986160145468e+001,1.77450858308412e+002
1.89234361864495e+003,-6.04578746203659e+001,1.77444874481812e+002
1.89670592121112e+003,-6.04171297722111e+001,1.77438876106381e+002
1.90107827992327e+003,-6.03763814538422e+001,1.77432863143235e+002
1.90546071796322e+003,-6.03356296489413e+001,1.77426835553359e+002
1.90985325856621e+003,-6.02948743411120e+001,1.77420793297612e+002
1.91425592502106e+003,-6.02541155138798e+001,1.77414736336720e+002
1.91866874067026e+003,-6.02133531506910e+001,1.77408664631283e+002
1.92309172891013e+003,-6.01725872349127e+001,1.77402578141770e+002
1.92752491319091e+003,-6.01318177498324e+001,1.77396476828516e+002
1.93196831701689e+003,-6.00910446786573e+001,1.77390360651728e+002
1.93642196394658e+003,-6.00502680045143e+001,1.77384229571480e+002
1.94088587759275e+003,-6.00094877104492e+001,1.77378083547711e+002
1.94536008162263e+003,-5.99687037794267e+001,1.77371922540229e+002
1.94984459975802e+003,-5.99279161943298e+001,1.77365746508707e+002
1.95433945577536e+003,-5.98871249379592e+001,1.77359555412683e+002
1.95884467350596e+003,-5.98463299930333e+001,1.77353349211562e+002
1.96336027683602e+003,-5.98055313421874e+001,1.77347127864610e+002
1.96788628970681e+003,-5.97647289679736e+001,1.77340891330958e+002
1.97242273611482e+003,-5.97239228528603e+001,1.77334639569601e+002
1.97696964011183e+003,-5.96831129792316e+001,1.77328372539393e+002
1.98152702580507e+003,-5.96422993293870e+001,1.77322090199054e+002
1.98609491735734e+003,-5.96014818855411e+001,1.77315792507161e+002
1.99067333898715e+003,-5.95606606298230e+001,1.77309479422155e+002
1.99526231496885e+003,-5.95198355442759e+001,1.77303150902332e+002
1.99986186963271e+003,-5.94790066108570e+001,1.77296806905852e+002
2.00447202736513e+003,-5.94381738114363e+001,1.77290447390730e+002
2.00909281260870e+003,-5.93973371277971e+001,1.77284072314839e+002
2.01372424986236e+003,-5.93564965416348e+001,1.77277681635912e+002
2.01836636368153e+003,-5.93156520345571e+001,1.77271275311535e+002
2.02301917867824e+003,-5.92748035880828e+001,1.77264853299151e+002
2.02768271952125e+003,-5.92339511836423e+001,1.77258415556058e+002
2.03235701093619e+003,-5.91930948025763e+001,1.77251962039408e+002
2.03704207770568e+003,-5.91522344261358e+001,1.77245492706207e+002
2.04173794466950e+003,-5.91113700354815e+001,1.77239007513315e+002
2.04644463672464e+003,-5.90705016116837e+001,1.77232506417442e+002
2.05116217882553e+003,-5.90296291357211e+001,1.77225989375151e+002
2.05589059598411e+003,-5.89887525884812e+001,1.77219456342856e+002
2.06062991326997e+003,-5.89478719507591e+001,1.77212907276821e+002
2.06538015581049e+003,-5.89069872032577e+001,1.77206342133159e+002
2.07014134879101e+003,-5.88660983265866e+001,1.77199760867832e+002
2.07491351745487e+003,-5.88252053012622e+001,1.77193163436650e+002
2.07969668710366e+003,-5.87843081077068e+001,1.77186549795270e+002
2.08449088309725e+003,-5.87434067262484e+001,1.77179919899197e+002
2.08929613085400e+003,-5.87025011371202e+001,1.77173273703780e+002
2.09411245585086e+003,-5.86615913204598e+001,1.77166611164213e+002
2.09893988362349e+003,-5.86206772563092e+001,1.77159932235537e+002
2.10377843976644e+003,-5.85797589246140e+001,1.77153236872633e+002
2.10862814993325e+003,-5.85388363052232e+001,1.77146525030227e+002
2.11348903983661e+003,-5.84979093778881e+001,1.77139796662888e+002
2.11836113524846e+003,-5.84569781222628e+001,1.77133051725024e+002
2.12324446200018e+003,-5.84160425179026e+001,1.77126290170884e+002
2.12813904598267e+003,-5.83751025442643e+001,1.77119511954558e+002
2.13304491314654e+003,-5.83341581807056e+001,1.77112717029975e+002
2.13796208950219e+003,-5.82932094064841e+001,1.77105905350900e+002
2.14289060112002e+003,-5.82522562007574e+001,1.77099076870938e+002
2.14783047413050e+003,-5.82112985425823e+001,1.77092231543530e+002
2.15278173472433e+003,-5.81703364109142e+001,1.77085369321952e+002
2.15774440915263e+003,-5.81293697846070e+001,1.77078490159315e+002
2.16271852372698e+003,-5.80883986424119e+001,1.77071594008566e+002
2.16770410481966e+003,-5.80474229629777e+001,1.77064680822483e+002
2.17270117886370e+003,-5.80064427248496e+001,1.77057750553678e+002
2.17770977235312e+003,-5.79654579064691e+001,1.77050803154595e+002
2.18272991184296e+003,-5.79244684861732e+001,1.77043838577509e+002
2.18776162394951e+003,-5.78834744421941e+001,1.77036856774523e+002
2.19280493535041e+003,-5.78424757526584e+001,1.77029857697572e+002
2.19785987278478e+003,-5.78014723955871e+001,1.77022841298419e+002
2.20292646305342e+003,-5.77604643488942e+001,1.77015807528652e+002
2.20800473301886e+003,-5.77194515903870e+001,1.77008756339689e+002
2.21309470960560e+003,-5.76784340977651e+001,1.77001687682773e+002
2.21819641980018e+003,-5.76374118486199e+001,1.76994601508970e+002
2.22330989065136e+003,-5.75963848204344e+001,1.76987497769172e+002
2.22843514927026e+003,-5.75553529905820e+001,1.76980376414095e+002
2.23357222283049e+003,-5.75143163363265e+001,1.76973237394275e+002
2.23872113856830e+003,-5.74732748348213e+001,1.76966080660071e+002
2.24388192378272e+003,-5.74322284631089e+001,1.76958906161662e+002
2.24905460583574e+003,-5.73911771981204e+001,1.76951713849047e+002
2.25423921215239e+003,-5.73501210166748e+001,1.76944503672044e+002
2.25943577022093e+003,-5.73090598954785e+001,1.76937275580289e+002
2.26464430759302e+003,-5.72679938111247e+001,1.76930029523233e+002
2.26986485188378e+003,-5.72269227400929e+001,1.76922765450145e+002
2.27509743077203e+003,-5.71858466587482e+001,1.76915483310109e+002
2.28034207200037e+003,-5.71447655433407e+001,1.76908183052022e+002
2.28559880337539e+003,-5.71036793700053e+001,1.76900864624596e+002
2.29086765276773e+003,-5.70625881147604e+001,1.76893527976352e+002
2.29614864811232e+003,-5.70214917535080e+001,1.76886173055627e+002
2.30144181740846e+003,-5.69803902620328e+001,1.76878799810563e+002
2.30674718872002e+003,-5.69392836160014e+001,1.76871408189115e+002
2.31206479017555e+003,-5.68981717909622e+001,1.76863998139046e+002
2.31739464996843e+003,-5.68570547623442e+001,1.76856569607926e+002
2.32273679635706e+003,-5.68159325054571e+001,1.76849122543130e+002
2.32809125766496e+003,-5.67748049954899e+001,1.76841656891839e+002
2.33345806228096e+003,-5.67336722075109e+001,1.76834172601041e+002
2.33883723865931e+003,-5.66925341164667e+001,1.76826669617524e+002
2.34422881531987e+003,-5.66513906971819e+001,1.76819147887880e+002
2.34963282084826e+003,-5.66102419243581e+001,1.76811607358501e+002
2.35504928389596e+003,-5.65690877725738e+001,1.76804047975582e+002
2.36047823318053e+003,-5.65279282162831e+001,1.76796469685115e+002
2.36591969748571e+003,-5.64867632298155e+001,1.76788872432891e+002
2.37137370566161e+003,-5.64455927873753e+001,1.76781256164498e+002
2.37684028662483e+003,-5.64044168630406e+001,1.76773620825320e+002
2.38231946935864e+003,-5.63632354307631e+001,1.76765966360537e+002
2.38781128291313e+003,-5.63220484643671e+001,1.76758292715121e+002
2.39331575640534e+003,-5.62808559375490e+001,1.76750599833840e+002
2.39883291901944e+003,-5.62396578238765e+001,1.76742887661250e+002
2.40436280000688e+003,-5.61984540967881e+001,1.76735156141701e+002
2.40990542868654e+003,-5.61572447295926e+001,1.76727405219331e+002
2.41546083444489e+003,-5.61160296954678e+001,1.76719634838067e+002
2.42102904673613e+003,-5.60748089674607e+001,1.76711844941623e+002
2.42661009508236e+003,-5.60335825184859e+001,1.76704035473500e+002
2.43220400907376e+003,-5.59923503213257e+001,1.76696206376984e+002
2.43781081836870e+003,-5.59511123486290e+001,1.76688357595144e+002
2.44343055269392e+003,-5.59098685729106e+001,1.76680489070833e+002
2.44906324184469e+003,-5.58686189665508e+001,1.76672600746685e+002
2.45470891568498e+003,-5.58273635017944e+001,1.76664692565116e+002
2.46036760414758e+003,-5.57861021507502e+001,1.76656764468319e+002
2.46603933723429e+003,-5.57448348853900e+001,1.76648816398268e+002
2.47172414501608e+003,-5.57035616775483e+001,1.76640848296710e+002
2.47742205763323e+003,-5.56622824989215e+001,1.76632860105172e+002
2.48313310529552e+003,-5.56209973210667e+001,1.76624851764954e+002
2.48885731828234e+003,-5.55797061154016e+001,1.76616823217128e+002
2.49459472694290e+003,-5.55384088532036e+001,1.76608774402541e+002
2.50034536169638e+003,-5.54971055056088e+001,1.76600705261809e+002
2.50610925303206e+003,-5.54557960436116e+001,1.76592615735317e+002
2.51188643150953e+003,-5.54144804380637e+001,1.76584505763220e+002
2.51767692775880e+003,-5.53731586596737e+001,1.76576375285441e+002
2.52348077248052e+003,-5.53318306790060e+001,1.76568224241666e+002
2.52929799644609e+003,-5.52904964664801e+001,1.76560052571349e+002
2.53512863049785e+003,-5.52491559923701e+001,1.76551860213705e+002
2.54097270554925e+003,-5.52078092268038e+001,1.76543647107711e+002
2.54683025258499e+003,-5.51664561397617e+001,1.76535413192108e+002
2.55270130266119e+003,-5.51250967010766e+001,1.76527158405392e+002
2.55858588690559e+003,-5.50837308804328e+001,1.76518882685820e+002
2.56448403651766e+003,-5.50423586473650e+001,1.76510585971406e+002
