Freq.,Vvo
1.26182753459066e+003,-2.19941285924759e+001,8.86116444230811e+001
1.26473634747115e+003,-2.19741399758967e+001,8.86147452675571e+001
1.26765186585784e+003,-2.19541513070413e+001,8.86178387750141e+001
1.27057410520854e+003,-2.19341625861507e+001,8.86209249630826e+001
1.27350308101666e+003,-2.19141738134926e+001,8.86240038545457e+001
1.27643880881134e+003,-2.18941849892808e+001,8.86270754604369e+001
1.27938130415752e+003,-2.18741961137565e+001,8.86301397969784e+001
1.28233058265601e+003,-2.18542071871636e+001,8.86331968835887e+001
1.28528665994361e+003,-2.18342182097107e+001,8.86362467299761e+001
1.28824955169313e+003,-2.18142291816594e+001,8.86392893580747e+001
1.29121927361353e+003,-2.17942401032340e+001,8.86423247826927e+001
1.29419584144998e+003,-2.17742509746675e+001,8.86453530205374e+001
1.29717927098395e+003,-2.17542617961819e+001,8.86483740850937e+001
1.30016957803328e+003,-2.17342725680096e+001,8.86513879930210e+001
1.30316677845229e+003,-2.17142832903786e+001,8.86543947609446e+001
1.30617088813183e+003,-2.16942939635214e+001,8.86573944048206e+001
1.30918192299940e+003,-2.16743045876631e+001,8.86603869418411e+001
1.31219989901920e+003,-2.16543151630142e+001,8.86633723834844e+001
1.31522483219223e+003,-2.16343256898251e+001,8.86663507519301e+001
1.31825673855640e+003,-2.16143361683001e+001,8.86693220579787e+001
1.32129563418657e+003,-2.15943465986555e+001,8.86722863168305e+001
1.32434153519466e+003,-2.15743569811290e+001,8.86752435474078e+001
1.32739445772973e+003,-2.15543673159243e+001,8.86781937617233e+001
1.33045441797808e+003,-2.15343776032746e+001,8.86811369798760e+001
1.33352143216332e+003,-2.15143878433920e+001,8.86840732138322e+001
1.33659551654643e+003,-2.14943980364885e+001,8.86870024798974e+001
1.33967668742593e+003,-2.14744081827897e+001,8.86899247949581e+001
1.34276496113786e+003,-2.14544182825031e+001,8.86928401727820e+001
1.34586035405594e+003,-2.14344283358401e+001,8.86957486277391e+001
1.34896288259165e+003,-2.14144383430213e+001,8.86986501778612e+001
1.35207256319427e+003,-2.13944483042578e+001,8.87015448386819e+001
1.35518941235103e+003,-2.13744582197589e+001,8.87044326238746e+001
1.35831344658715e+003,-2.13544680897344e+001,8.87073135489281e+001
1.36144468246594e+003,-2.13344779143944e+001,8.87101876299106e+001
1.36458313658892e+003,-2.13144876939405e+001,8.87130548798247e+001
1.36772882559584e+003,-2.12944974285759e+001,8.87159153128769e+001
1.37088176616484e+003,-2.12745071185301e+001,8.87187689504951e+001
1.37404197501251e+003,-2.12545167639903e+001,8.87216158031893e+001
1.37720946889394e+003,-2.12345263651554e+001,8.87244558838870e+001
1.38038426460288e+003,-2.12145359222486e+001,8.87272892126989e+001
1.38356637897177e+003,-2.11945454354560e+001,8.87301158012952e+001
1.38675582887188e+003,-2.11745549049789e+001,8.87329356637353e+001
1.38995263121334e+003,-2.11545643310369e+001,8.87357488212020e+001
1.39315680294529e+003,-2.11345737138068e+001,8.87385552811401e+001
1.39636836105593e+003,-2.11145830534937e+001,8.87413550599215e+001
1.39958732257261e+003,-2.10945923503112e+001,8.87441481774249e+001
1.40281370456195e+003,-2.10746016044290e+001,8.87469346410761e+001
1.40604752412990e+003,-2.10546108160653e+001,8.87497144712830e+001
1.40928879842186e+003,-2.10346199854018e+001,8.87524876795742e+001
1.41253754462274e+003,-2.10146291126391e+001,8.87552542809945e+001
1.41579377995707e+003,-2.09946381979656e+001,8.87580142905618e+001
1.41905752168908e+003,-2.09746472415877e+001,8.87607677255955e+001
1.42232878712281e+003,-2.09546562436784e+001,8.87635145952250e+001
1.42560759360218e+003,-2.09346652044459e+001,8.87662549202084e+001
1.42889395851109e+003,-2.09146741240581e+001,8.87689887084878e+001
1.43218789927353e+003,-2.08946830027299e+001,8.87717159801670e+001
1.43548943335364e+003,-2.08746918406286e+001,8.87744367454810e+001
1.43879857825583e+003,-2.08547006379418e+001,8.87771510192769e+001
1.44211535152486e+003,-2.08347093948766e+001,8.87798588203871e+001
1.44543977074592e+003,-2.08147181115954e+001,8.87825601572807e+001
1.44877185354475e+003,-2.07947267882951e+001,8.87852550475900e+001
1.45211161758773e+003,-2.07747354251564e+001,8.87879435043360e+001
1.45545908058195e+003,-2.07547440223609e+001,8.87906255428016e+001
1.45881426027534e+003,-2.07347525800945e+001,8.87933011765334e+001
1.46217717445671e+003,-2.07147610985336e+001,8.87959704184960e+001
1.46554784095590e+003,-2.06947695778645e+001,8.87986332850274e+001
1.46892627764385e+003,-2.06747780182517e+001,8.88012897867918e+001
1.47231250243271e+003,-2.06547864198940e+001,8.88039399417630e+001
1.47570653327588e+003,-2.06347947829657e+001,8.88065837628121e+001
1.47910838816819e+003,-2.06148031076352e+001,8.88092212639176e+001
1.48251808514594e+003,-2.05948113940819e+001,8.88118524573585e+001
1.48593564228699e+003,-2.05748196424805e+001,8.88144773576348e+001
1.48936107771090e+003,-2.05548278530146e+001,8.88170959808835e+001
1.49279440957898e+003,-2.05348360258417e+001,8.88197083376588e+001
1.49623565609442e+003,-2.05148441611527e+001,8.88223144446012e+001
1.49968483550236e+003,-2.04948522591095e+001,8.88249143138926e+001
1.50314196609001e+003,-2.04748603198802e+001,8.88275079588072e+001
1.50660706618673e+003,-2.04548683436444e+001,8.88300953936982e+001
1.51008015416413e+003,-2.04348763305701e+001,8.88326766334402e+001
1.51356124843619e+003,-2.04148842808251e+001,8.88352516906879e+001
1.51705036745932e+003,-2.03948921945781e+001,8.88378205786283e+001
1.52054752973248e+003,-2.03749000719899e+001,8.88403833098873e+001
1.52405275379728e+003,-2.03549079132426e+001,8.88429399008757e+001
1.52756605823806e+003,-2.03349157184871e+001,8.88454903630848e+001
1.53108746168201e+003,-2.03149234878948e+001,8.88480347096219e+001
1.53461698279928e+003,-2.02949312216311e+001,8.88505729546551e+001
1.53815464030302e+003,-2.02749389198639e+001,8.88531051134001e+001
1.54170045294954e+003,-2.02549465827487e+001,8.88556311967428e+001
1.54525443953840e+003,-2.02349542104466e+001,8.88581512171763e+001
1.54881661891247e+003,-2.02149618031297e+001,8.88606651919874e+001
1.55238700995807e+003,-2.01949693609445e+001,8.88631731293474e+001
1.55596563160506e+003,-2.01749768840668e+001,8.88656750480858e+001
1.55955250282694e+003,-2.01549843726457e+001,8.88681709574131e+001
1.56314764264094e+003,-2.01349918268474e+001,8.88706608729060e+001
1.56675107010813e+003,-2.01149992468170e+001,8.88731448048200e+001
1.57036280433354e+003,-2.00950066327272e+001,8.88756227702632e+001
1.57398286446620e+003,-2.00750139847165e+001,8.88780947768281e+001
1.57761126969933e+003,-2.00550213029567e+001,8.88805608436725e+001
1.58124803927037e+003,-2.00350285875931e+001,8.88830209788919e+001
1.58489319246110e+003,-2.00150358387879e+001,8.88854751984362e+001
1.58854674859776e+003,-1.99950430566955e+001,8.88879235161259e+001
1.59220872705115e+003,-1.99750502414570e+001,8.88903659415975e+001
1.59587914723672e+003,-1.99550573932339e+001,8.88928024891619e+001
1.59955802861465e+003,-1.99350645121714e+001,8.88952331715477e+001
1.60324539069002e+003,-1.99150715984314e+001,8.88976580040435e+001
1.60694125301286e+003,-1.98950786521570e+001,8.89000769967489e+001
1.61064563517825e+003,-1.98750856734925e+001,8.89024901623375e+001
1.61435855682647e+003,-1.98550926625905e+001,8.89048975134637e+001
1.61808003764305e+003,-1.98350996196043e+001,8.89072990648086e+001
1.62181009735891e+003,-1.98151065446757e+001,8.89096948274464e+001
1.62554875575047e+003,-1.97951134379536e+001,8.89120848155002e+001
1.62929603263970e+003,-1.97751202995859e+001,8.89144690405215e+001
1.63305194789432e+003,-1.97551271297116e+001,8.89168475145604e+001
1.63681652142779e+003,-1.97351339284856e+001,8.89192202526846e+001
1.64058977319952e+003,-1.97151406960412e+001,8.89215872643748e+001
1.64437172321491e+003,-1.96951474325269e+001,8.89239485636479e+001
1.64816239152549e+003,-1.96751541380822e+001,8.89263041624814e+001
1.65196179822900e+003,-1.96551608128622e+001,8.89286540758425e+001
1.65576996346951e+003,-1.96351674569877e+001,8.89309983116645e+001
1.65958690743754e+003,-1.96151740706082e+001,8.89333368833847e+001
1.66341265037015e+003,-1.95951806538698e+001,8.89356698069004e+001
1.66724721255104e+003,-1.95751872069065e+001,8.89379970911112e+001
1.67109061431069e+003,-1.95551937298609e+001,8.89403187513667e+001
1.67494287602642e+003,-1.95352002228636e+001,8.89426347950671e+001
1.67880401812254e+003,-1.95152066860559e+001,8.89449452385107e+001
1.68267406107045e+003,-1.94952131195784e+001,8.89472500930231e+001
1.68655302538872e+003,-1.94752195235676e+001,8.89495493718833e+001
1.69044093164324e+003,-1.94552258981592e+001,8.89518430863850e+001
1.69433780044731e+003,-1.94352322434763e+001,8.89541312453717e+001
1.69824365246172e+003,-1.94152385596698e+001,8.89564138664669e+001
1.70215850839493e+003,-1.93952448468588e+001,8.89586909565351e+001
1.70608238900310e+003,-1.93752511051901e+001,8.89609625326532e+001
1.71001531509027e+003,-1.93552573347875e+001,8.89632286026435e+001
1.71395730750840e+003,-1.93352635357863e+001,8.89654891806245e+001
1.71790838715757e+003,-1.93152697083221e+001,8.89677442797146e+001
1.72186857498598e+003,-1.92952758525141e+001,8.89699939082010e+001
1.72583789199018e+003,-1.92752819685000e+001,8.89722380806185e+001
1.72981635921508e+003,-1.92552880564126e+001,8.89744768090694e+001
1.73380399775412e+003,-1.92352941163734e+001,8.89767101042071e+001
1.73780082874935e+003,-1.92153001485096e+001,8.89789379762023e+001
1.74180687339159e+003,-1.91953061529596e+001,8.89811604409241e+001
1.74582215292048e+003,-1.91753121298498e+001,8.89833775089751e+001
1.74984668862463e+003,-1.91553180792906e+001,8.89855891885899e+001
1.75388050184174e+003,-1.91353240014278e+001,8.89877954969788e+001
1.75792361395867e+003,-1.91153298963781e+001,8.89899964414039e+001
1.76197604641161e+003,-1.90953357642614e+001,8.89921920343175e+001
1.76603782068614e+003,-1.90753416052106e+001,8.89943822890838e+001
1.77010895831740e+003,-1.90553474193401e+001,8.89965672138953e+001
1.77418948089014e+003,-1.90353532067850e+001,8.89987468248864e+001
1.77827941003890e+003,-1.90153589676611e+001,8.90009211306904e+001
1.78237876744807e+003,-1.89953647020907e+001,8.90030901436655e+001
1.78648757485203e+003,-1.89753704102008e+001,8.90052538756824e+001
1.79060585403527e+003,-1.89553760921026e+001,8.90074123367462e+001
1.79473362683250e+003,-1.89353817479157e+001,8.90095655373201e+001
1.79887091512876e+003,-1.89153873777718e+001,8.90117134924595e+001
1.80301774085954e+003,-1.88953929817883e+001,8.90138562125833e+001
1.80717412601090e+003,-1.88753985600785e+001,8.90159937076465e+001
1.81134009261958e+003,-1.88554041127568e+001,8.90181259876016e+001
1.81551566277311e+003,-1.88354096399480e+001,8.90202530669555e+001
1.81970085860996e+003,-1.88154151417687e+001,8.90223749547150e+001
1.82389570231961e+003,-1.87954206183334e+001,8.90244916635223e+001
1.82810021614272e+003,-1.87754260697559e+001,8.90266032032762e+001
1.83231442237119e+003,-1.87554314961549e+001,8.90287095865823e+001
1.83653834334832e+003,-1.87354368976436e+001,8.90308108219640e+001
1.84077200146893e+003,-1.87154422743449e+001,8.90329069251457e+001
1.84501541917945e+003,-1.86954476263624e+001,8.90349979032762e+001
1.84926861897805e+003,-1.86754529538108e+001,8.90370837675522e+001
1.85353162341478e+003,-1.86554582568023e+001,8.90391645304945e+001
1.85780445509167e+003,-1.86354635354594e+001,8.90412402041501e+001
1.86208713666284e+003,-1.86154687898850e+001,8.90433107974339e+001
1.86637969083464e+003,-1.85954740201860e+001,8.90453763205956e+001
1.87068214036577e+003,-1.85754792264841e+001,8.90474367869723e+001
1.87499450806739e+003,-1.85554844088827e+001,8.90494922058958e+001
1.87931681680324e+003,-1.85354895674923e+001,8.90515425880186e+001
1.88364908948977e+003,-1.85154947024288e+001,8.90535879466174e+001
1.88799134909627e+003,-1.84954998137917e+001,8.90556282892367e+001
1.89234361864495e+003,-1.84755049016931e+001,8.90576636286844e+001
1.89670592121112e+003,-1.84555099662430e+001,8.90596939755553e+001
1.90107827992327e+003,-1.84355150075477e+001,8.90617193404331e+001
1.90546071796322e+003,-1.84155200257111e+001,8.90637397334560e+001
1.90985325856621e+003,-1.83955250208455e+001,8.90657551664868e+001
1.91425592502106e+003,-1.83755299930480e+001,8.90677656487726e+001
1.91866874067026e+003,-1.83555349424266e+001,8.90697711904223e+001
1.92309172891013e+003,-1.83355398690912e+001,8.90717718045486e+001
1.92752491319091e+003,-1.83155447731485e+001,8.90737675012242e+001
1.93196831701689e+003,-1.82955496546889e+001,8.90757582879456e+001
1.93642196394658e+003,-1.82755545138321e+001,8.90777441794867e+001
1.94088587759275e+003,-1.82555593506675e+001,8.90797251833253e+001
1.94536008162263e+003,-1.82355641653069e+001,8.90817013112063e+001
1.94984459975802e+003,-1.82155689578446e+001,8.90836725731550e+001
1.95433945577536e+003,-1.81955737283911e+001,8.90856389808807e+001
1.95884467350596e+003,-1.81755784770390e+001,8.90876005422688e+001
1.96336027683602e+003,-1.81555832038936e+001,8.90895572690079e+001
1.96788628970681e+003,-1.81355879090572e+001,8.90915091736040e+001
1.97242273611482e+003,-1.81155925926253e+001,8.90934562630786e+001
1.97696964011183e+003,-1.80955972546990e+001,8.90953985494940e+001
1.98152702580507e+003,-1.80756018953709e+001,8.90973360415450e+001
1.98609491735734e+003,-1.80556065147507e+001,8.90992687525107e+001
1.99067333898715e+003,-1.80356111129284e+001,8.91011966893978e+001
1.99526231496885e+003,-1.80156156900052e+001,8.91031198642070e+001
1.99986186963271e+003,-1.79956202460789e+001,8.91050382872564e+001
2.00447202736513e+003,-1.79756247812320e+001,8.91069519655509e+001
2.00909281260870e+003,-1.79556292955848e+001,8.91088609143466e+001
2.01372424986236e+003,-1.79356337892146e+001,8.91107651402167e+001
2.01836636368153e+003,-1.79156382622202e+001,8.91126646530335e+001
2.02301917867824e+003,-1.78956427147030e+001,8.91145594651146e+001
2.02768271952125e+003,-1.78756471467518e+001,8.91164495854823e+001
2.03235701093619e+003,-1.78556515584612e+001,8.91183350243788e+001
2.03704207770568e+003,-1.78356559499249e+001,8.91202157904084e+001
2.04173794466950e+003,-1.78156603212394e+001,8.91220918954198e+001
2.04644463672464e+003,-1.77956646724948e+001,8.91239633488086e+001
2.05116217882553e+003,-1.77756690037761e+001,8.91258301583517e+001
2.05589059598411e+003,-1.77556733151861e+001,8.91276923370660e+001
2.06062991326997e+003,-1.77356776068147e+001,8.91295498935135e+001
2.06538015581049e+003,-1.77156818787491e+001,8.91314028382619e+001
2.07014134879101e+003,-1.76956861310743e+001,8.91332511778648e+001
2.07491351745487e+003,-1.76756903638880e+001,8.91350949248769e+001
2.07969668710366e+003,-1.76556945772864e+001,8.91369340914197e+001
2.08449088309725e+003,-1.76356987713456e+001,8.91387686824403e+001
2.08929613085400e+003,-1.76157029461580e+001,8.91405987092550e+001
2.09411245585086e+003,-1.75957071018184e+001,8.91424241831560e+001
2.09893988362349e+003,-1.75757112384094e+001,8.91442451126526e+001
2.10377843976644e+003,-1.75557153560218e+001,8.91460615078280e+001
2.10862814993325e+003,-1.75357194547396e+001,8.91478733775756e+001
2.11348903983661e+003,-1.75157235346497e+001,8.91496807311772e+001
2.11836113524846e+003,-1.74957275958382e+001,8.91514835782992e+001
2.12324446200018e+003,-1.74757316383923e+001,8.91532819289880e+001
2.12813904598267e+003,-1.74557356624029e+001,8.91550757940533e+001
2.13304491314654e+003,-1.74357396679528e+001,8.91568651823455e+001
2.13796208950219e+003,-1.74157436551200e+001,8.91586501015515e+001
2.14289060112002e+003,-1.73957476239928e+001,8.91604305616819e+001
2.14783047413050e+003,-1.73757515746586e+001,8.91622065738892e+001
2.15278173472433e+003,-1.73557555072008e+001,8.91639781466116e+001
2.15774440915263e+003,-1.73357594216964e+001,8.91657452879048e+001
2.16271852372698e+003,-1.73157633182346e+001,8.91675080088879e+001
2.16770410481966e+003,-1.72957671968964e+001,8.91692663176025e+001
2.17270117886370e+003,-1.72757710577651e+001,8.91710202255216e+001
2.17770977235312e+003,-1.72557749009188e+001,8.91727697391508e+001
2.18272991184296e+003,-1.72357787264396e+001,8.91745148688040e+001
2.18776162394951e+003,-1.72157825344159e+001,8.91762556259116e+001
2.19280493535041e+003,-1.71957863249152e+001,8.91779920150856e+001
2.19785987278478e+003,-1.71757900980301e+001,8.91797240488763e+001
2.20292646305342e+003,-1.71557938538375e+001,8.91814517367924e+001
2.20800473301886e+003,-1.71357975924126e+001,8.91831750864579e+001
2.21309470960560e+003,-1.71158013138385e+001,8.91848941073721e+001
2.21819641980018e+003,-1.70958050181920e+001,8.91866088086512e+001
2.22330989065136e+003,-1.70758087055583e+001,8.91883192005196e+001
2.22843514927026e+003,-1.70558123760040e+001,8.91900252898436e+001
2.23357222283049e+003,-1.70358160296134e+001,8.91917270868353e+001
2.23872113856830e+003,-1.70158196664674e+001,8.91934246013194e+001
2.24388192378272e+003,-1.69958232866331e+001,8.91951178401573e+001
2.24905460583574e+003,-1.69758268901942e+001,8.91968068135329e+001
2.25423921215239e+003,-1.69558304772304e+001,8.91984915316124e+001
2.25943577022093e+003,-1.69358340478081e+001,8.92001720001504e+001
2.26464430759302e+003,-1.69158376020156e+001,8.92018482325952e+001
2.26986485188378e+003,-1.68958411399111e+001,8.92035202328711e+001
2.27509743077203e+003,-1.68758446615874e+001,8.92051880140311e+001
2.28034207200037e+003,-1.68558481671077e+001,8.92068515814655e+001
2.28559880337539e+003,-1.68358516565520e+001,8.92085109471051e+001
2.29086765276773e+003,-1.68158551299898e+001,8.92101661170674e+001
2.29614864811232e+003,-1.67958585874991e+001,8.92118171021724e+001
2.30144181740846e+003,-1.67758620291480e+001,8.92134639092610e+001
2.30674718872002e+003,-1.67558654550132e+001,8.92151065480546e+001
2.31206479017555e+003,-1.67358688651669e+001,8.92167450275440e+001
2.31739464996843e+003,-1.67158722596827e+001,8.92183793563545e+001
2.32273679635706e+003,-1.66958756386292e+001,8.92200095427502e+001
2.32809125766496e+003,-1.66758790020814e+001,8.92216355957034e+001
2.33345806228096e+003,-1.66558823501082e+001,8.92232575238236e+001
2.33883723865931e+003,-1.66358856827807e+001,8.92248753350072e+001
2.34422881531987e+003,-1.66158890001737e+001,8.92264890385628e+001
2.34963282084826e+003,-1.65958923023478e+001,8.92280986413234e+001
2.35504928389596e+003,-1.65758955893849e+001,8.92297041554007e+001
2.36047823318053e+003,-1.65558988613448e+001,8.92313055855087e+001
2.36591969748571e+003,-1.65359021183033e+001,8.92329029430348e+001
2.37137370566161e+003,-1.65159053603270e+001,8.92344962341017e+001
2.37684028662483e+003,-1.64959085874846e+001,8.92360854686776e+001
2.38231946935864e+003,-1.64759117998440e+001,8.92376706546281e+001
2.38781128291313e+003,-1.64559149974744e+001,8.92392518005120e+001
2.39331575640534e+003,-1.64359181804400e+001,8.92408289138451e+001
2.39883291901944e+003,-1.64159213488161e+001,8.92424020052501e+001
2.40436280000688e+003,-1.63959245026637e+001,8.92439710805075e+001
2.40990542868654e+003,-1.63759276420509e+001,8.92455361495363e+001
2.41546083444489e+003,-1.63559307670471e+001,8.92470972201812e+001
2.42102904673613e+003,-1.63359338777126e+001,8.92486542996036e+001
2.42661009508236e+003,-1.63159369741155e+001,8.92502073973573e+001
2.43220400907376e+003,-1.62959400563251e+001,8.92517565216193e+001
2.43781081836870e+003,-1.62759431244045e+001,8.92533016798843e+001
2.44343055269392e+003,-1.62559461784179e+001,8.92548428816817e+001
2.44906324184469e+003,-1.62359492184338e+001,8.92563801338213e+001
2.45470891568498e+003,-1.62159522445107e+001,8.92579134454819e+001
2.46036760414758e+003,-1.61959552567122e+001,8.92594428224657e+001
2.46603933723429e+003,-1.61759582551103e+001,8.92609682756249e+001
2.47172414501608e+003,-1.61559612397582e+001,8.92624898114327e+001
2.47742205763323e+003,-1.61359642107277e+001,8.92640074387097e+001
2.48313310529552e+003,-1.61159671680826e+001,8.92655211669336e+001
2.48885731828234e+003,-1.60959701118758e+001,8.92670310002470e+001
2.49459472694290e+003,-1.60759730421816e+001,8.92685369501204e+001
2.50034536169638e+003,-1.60559759590536e+001,8.92700390230271e+001
2.50610925303206e+003,-1.60359788625547e+001,8.92715372267710e+001
2.51188643150953e+003,-1.60159817527483e+001,8.92730315694839e+001
2.51767692775880e+003,-1.59959846296958e+001,8.92745220599506e+001
2.52348077248052e+003,-1.59759874934597e+001,8.92760087056331e+001
2.52929799644609e+003,-1.59559903440950e+001,8.92774915133412e+001
2.53512863049785e+003,-1.59359931816663e+001,8.92789704921759e+001
2.54097270554925e+003,-1.59159960062383e+001,8.92804456499215e+001
2.54683025258499e+003,-1.58959988178628e+001,8.92819169930618e+001
2.55270130266119e+003,-1.58760016166024e+001,8.92833845313311e+001
2.55858588690559e+003,-1.58560044025165e+001,8.92848482708864e+001
2.56448403651766e+003,-1.58360071756650e+001,8.92863082214467e+001
2.57039578276881e+003,-1.58160099361025e+001,8.92877643872383e+001
